sample_idx,pearson_correlation,mse
215,0.9849925460246641,0.0034300298
216,0.9895794158792213,0.0046992176
217,0.9910077883665291,0.0018144142
218,0.9922793158287749,0.0018436444
219,0.9846174476271395,0.0035796184
220,0.9918231045418514,0.0017644833
221,0.9922675399814094,0.0017803877
222,0.9922358133154857,0.0021243826
223,0.9918082575187562,0.0030337067
224,0.993689197813988,0.0028370915
225,0.9918071306534371,0.0019884086
226,0.9911154259136877,0.002618723
227,0.9897371753284174,0.002090081
228,0.9892850247097021,0.0021908956
229,0.9935647266912513,0.0033454497
230,0.991842590866568,0.0016199318
231,0.9881886550452623,0.0032603163
232,0.9901771971452895,0.0028779404
233,0.9908409337285526,0.0027563192
234,0.9893765887339437,0.0021204061
235,0.9889671435420216,0.0035190918
236,0.9922176596402202,0.0016895825
237,0.9877156022682634,0.0025142324
238,0.9749334000629265,0.0061739273
239,0.9911368772117307,0.0022197836
240,0.9919334469468657,0.0018212723
241,0.9920136978395695,0.0018566309
242,0.9749189786690549,0.0063776486
243,0.9919988447011969,0.0019323728
244,0.9784142731860312,0.00424816
245,0.9920279879807423,0.0028790843
246,0.9910586176769292,0.003036589
247,0.9918366669777195,0.0020713175
248,0.9923151997955129,0.004111915
249,0.9904649676834834,0.0022442257
250,0.9818744853984385,0.0038200426
251,0.970475261803168,0.008004627
252,0.9820809110698787,0.008211439
253,0.9915375151683375,0.0020887228
254,0.9891429756401606,0.005117832
255,0.9921043293613756,0.0016527417
256,0.992806013549064,0.0015809691
257,0.9926459111804394,0.0017234454
258,0.9905051675688253,0.002749958
259,0.993199036597928,0.001607236
260,0.9921685158425825,0.001869928
261,0.985271752111752,0.0032103797
262,0.992835361448712,0.0024254357
263,0.9917699369047176,0.001675151
264,0.9927711319154747,0.0018950779
265,0.9930394947011769,0.0018300007
266,0.9784342314190074,0.0043708724
267,0.9903968922016574,0.005034221
268,0.9920475094558959,0.001904038
269,0.9924724106326913,0.0015904581
270,0.9913126436401634,0.0019971149
271,0.9862111500039016,0.0065860637
272,0.9928882077215563,0.0018953523
273,0.9895212108444349,0.0028483951
274,0.9782158618623095,0.0052061407
275,0.9926121739275711,0.0019755708
276,0.9911267898535727,0.0031769976
277,0.9923824140327427,0.0015799695
278,0.9787687862177434,0.0044647646
279,0.9859146378751914,0.0030376632
280,0.9928005270519737,0.006077474
281,0.9896395098224355,0.0025950759
282,0.9934080661571059,0.0045506214
283,0.9919141441740642,0.0017534146
284,0.9928668829614973,0.0014499619
285,0.9916494122403506,0.002642553
286,0.9885939395439605,0.003416719
287,0.9921123557146156,0.0044274963
288,0.9913939222315402,0.0017310908
289,0.9846642759052662,0.004958705
290,0.993192649459129,0.0017849616
291,0.9907359608370226,0.0026168993
292,0.9831573548922976,0.0035337845
293,0.9930592814752793,0.002064764
294,0.9901977423979823,0.0019386286
295,0.9584425381602251,0.008689323
296,0.9887926600423848,0.0026828202
297,0.9913186442503378,0.002529384
298,0.9904055347852682,0.001917204
299,0.9807540324825003,0.00966899
300,0.9888832680028037,0.018085709
301,0.9915324596529448,0.0026358315
302,0.9963445166862824,0.0017149359
303,0.9954088512128977,0.0022931513
304,0.9910430570072749,0.005229443
305,0.9921665171091953,0.0041603716
306,0.9936611028698726,0.0016639725
307,0.9945513054020984,0.001565146
308,0.9948222114535069,0.0014638797
