,Phosphatidylethanolamine,Phospholipid,Cholesterol,Cardiolipin,Sphingosine,Cholesterol ester,Dsg-Phosphatidylinositol,L-alpha-Phosphatidylinositol,L-alpha-Phosphatidylglycerol,Lyso-Phosphatidate,Phosphatidylcholine,Triglyceride,Palmitic Acid,Stearic Acid,Docosahexaenoic Acid,Omega-3 25-5,Ceramide 24-0,Ceramide 22-0,Ceramide 24-1,Phosphatidylcholine 18-1,Phosphatidylethanolamine 18-1,"Ceramide 18-1,22-0","Deoxyceramide 18-1,24-1","Deoxyceramide 18-1,16-0","Dihydroceramide 18-0,14-0"
2778.678679,182.1195624,1276.642243,36.95399287,4553.496023,67.03992488,1349.910843,1269.74694,4042.353422,589.2961806,151.0623777,3764.742819,5024.939303,5261.607032,2280.486677,2624.356339,559.1866372,4609.321814,1243.067733,3257.840002,7336.080298,4573.28031,7888.565515,372.396124,2768.810002,313.6608466
2781.681682,191.7561614,1306.349092,37.64627998,4844.611347,65.85373017,1324.163631,1272.305963,4248.196166,605.3032199,242.9330979,3831.707227,5046.492907,5539.76127,2322.046461,2747.932823,741.3660244,4812.92856,1304.887644,3492.452794,7551.952973,4697.482989,7998.671159,356.3327056,2865.228109,224.0903802
2784.684685,215.0966457,1301.005016,39.68135249,5228.163145,67.77920707,1582.872271,1434.494542,4513.71914,625.6426843,221.4863748,4160.071643,5116.266151,5855.832322,2445.376126,2896.165847,710.436878,4829.049983,1258.991806,3830.477721,7885.696832,4811.348814,8217.520391,389.0037485,3031.376834,258.8543229
2787.687688,267.3717363,1182.809538,40.08591698,5488.781938,65.20027267,1549.566643,1450.820061,4631.583738,650.889046,267.1217786,4397.771707,5313.752916,6168.865803,2442.823188,3049.019989,817.0684105,4994.858715,1307.511675,4039.60769,8288.364319,5088.48425,8519.930664,394.6244931,3169.965565,368.5798929
2790.690691,279.4064153,1296.433508,41.0610015,5651.171327,71.36887188,1618.470269,1415.815176,4804.891666,675.8188743,250.0276574,4666.507361,5409.672385,6495.620314,2608.23075,3192.814666,955.535439,5063.720612,1327.580893,4232.220412,8665.019841,5417.201224,8822.822846,370.0781458,3347.723457,380.2098661
2793.693694,380.1132821,1437.686617,43.8248279,5923.936571,74.55911416,1773.170838,1533.072412,5178.817878,705.7078486,349.2467591,4828.035148,5426.618575,6843.926975,2777.463899,3298.200866,890.4237568,5423.476026,1345.401687,4665.530717,9029.293041,5707.830542,9075.567429,517.8386509,3395.400943,414.6396427
2796.696697,360.7832382,1381.557138,46.11437601,6062.269793,76.02522843,1829.674563,1611.879864,5208.667334,723.0685446,373.7802308,5281.166326,5543.204495,7087.119302,2815.043273,3407.996765,793.0672062,5699.500743,1477.872462,5005.486499,9476.307049,5952.989117,9306.05413,481.6635391,3599.085647,447.1765518
2799.6997,374.361484,1525.200727,45.15866613,6274.968567,72.32149286,1979.603979,1659.195778,5538.647548,725.0100706,436.9051902,5521.679882,5587.858732,7571.998218,2939.902283,3551.696302,1001.59551,6074.648711,1502.480949,5425.992205,9822.783873,6130.723376,9732.733817,633.365519,3839.215596,539.1299798
2802.702703,471.9573859,1504.433631,50.88671541,6551.64308,88.10274235,2139.710896,1809.157061,5859.77784,751.8004003,520.7180479,5785.472955,5792.552525,7915.805303,3196.31995,3828.599977,993.5637278,6311.136673,1635.022132,6028.246881,9976.002291,6228.619045,10370.61681,613.8620768,4170.457769,648.2529893
2805.705706,521.5054789,1614.769751,53.6334829,6943.55419,91.42643021,2274.459702,1763.900672,6135.83965,778.2637459,479.3764008,6245.915263,6062.255677,8437.047453,3395.27294,4147.676176,970.0891341,6990.163058,1732.546001,6055.225875,10216.30585,6272.800273,10750.63403,693.8992269,4317.91097,778.3172367
